Binder1,Jerala_P1,Jerala_P2,Jerala_P3,Jerala_P4,Jerala_P5,Jerala_P6,Jerala_P7,Jerala_P8,Jerala_P9,Jerala_P10,Jerala_P11,Jerala_P12
Jerala_P1,9.0,62934.0,215.0,129.0,251.0,381.0,281.0,171.0,951.0,250.0,144.0,1334.0
Jerala_P2,31951.0,10.0,599.0,211.0,1073.0,1184.0,341.0,363.0,138.0,253.0,247.0,349.0
Jerala_P3,117.0,241.0,158.0,11454.0,192.0,110.0,141.0,120.0,175.0,256.0,95.0,116.0
Jerala_P4,174.0,713.0,79476.0,3.0,341.0,347.0,236.0,193.0,360.0,966.0,1524.0,268.0
Jerala_P5,221.0,280.0,230.0,191.0,204.0,21659.0,347.0,196.0,257.0,135.0,871.0,283.0
Jerala_P6,166.0,1363.0,230.0,119.0,3625.0,6.0,244.0,193.0,2437.0,159.0,196.0,140.0
Jerala_P7,122.0,117.0,135.0,80.0,221.0,157.0,144.0,3266.0,141.0,124.0,1348.0,201.0
Jerala_P8,238.0,276.0,189.0,171.0,243.0,259.0,29996.0,,260.0,1096.0,176.0,370.0
Jerala_P9,1140.0,866.0,308.0,102.0,450.0,196.0,2462.0,906.0,15.0,69496.0,137.0,219.0
Jerala_P10,326.0,415.0,1021.0,160.0,7314.0,2544.0,418.0,280.0,59826.0,8.0,2000.0,604.0
Jerala_P11,190.0,383.0,291.0,262.0,258.0,259.0,478.0,273.0,278.0,2162.0,231.0,8068.0
Jerala_P12,264.0,289.0,284.0,113.0,255.0,220.0,461.0,217.0,144.0,496.0,35130.0,353.0
